nome,verso
Ambição,"Eu fugi de casaE não tenho pra onde irSempre ouvi dizerQue esse mundo era pequenoPelo caminho de espinhosAvistei um mar de rosasPra chegar até láEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiro Eu encontrei um poço de desejos Encontrei um anjoNo domingo de carnaval Diabo juram que era, uma fantasia originalEntre a cruz e a espada, escolhi um às de ouroPra matar o dragão Eu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiro Eu encontrei um poço de desejos"
Faça parte  dessa comunidade,"Eu fugi de casaE não tenho pra onde irSempre ouvi dizerQue esse mundo era pequenoPelo caminho de espinhosAvistei um mar de rosasPra chegar até láEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiro Eu encontrei um poço de desejos Encontrei um anjoNo domingo de carnaval Diabo juram que era, uma fantasia originalEntre a cruz e a espada, escolhi um às de ouroPra matar o dragão Eu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiro Eu encontrei um poço de desejos"
Ambição (segunda versão),"Eu fugi de casaE não tenho pra onde irSempre ouvi dizerQue esse mundo era pequenoPelo caminho de espinhosAvistei um mar de rosasPra chegar até láEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiroEu encontrei um poço de desejosEncontrei um anjoNo domingo de carnavalDiabos juram que eraUma fantasia originalEntre a cruz e espadaEscolhi um ás de ouroPra matar o dragãoEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiroEu encontrei um poço de desejos"
Faça parte  dessa comunidade,"Eu fugi de casaE não tenho pra onde irSempre ouvi dizerQue esse mundo era pequenoPelo caminho de espinhosAvistei um mar de rosasPra chegar até láEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiroEu encontrei um poço de desejosEncontrei um anjoNo domingo de carnavalDiabos juram que eraUma fantasia originalEntre a cruz e espadaEscolhi um ás de ouroPra matar o dragãoEu preciso um pouco mais de tempoPreciso de um grande amorPreciso dinheiro, preciso de pazNo reino das águas clarasAmanheceu a noite mais cedoDebaixo do meu travesseiroEu encontrei um poço de desejos"
Amor Branco e Preto,"Por que será que eu gosto de sofrer?Vai ver que agora eu dei pra masoquistaMeu amor branco e pretoÀs vezes me deixou na mão.Mas eu gosto de vocêJá não me importa a sua ingratidãoSofro, mas continuo a te adorarCorinthians, meu amorCorinthians!"
Faça parte  dessa comunidade,"Por que será que eu gosto de sofrer?Vai ver que agora eu dei pra masoquistaMeu amor branco e pretoÀs vezes me deixou na mão.Mas eu gosto de vocêJá não me importa a sua ingratidãoSofro, mas continuo a te adorarCorinthians, meu amorCorinthians!"
Amor e Sexo,"Amor é um livroSexo é esporteSexo é escolhaAmor é sorteAmor é pensamentoTeoremaAmor é novelaSexo é cinemaSexo é imaginaçãoFantasiaAmor é prosaSexo é poesiaO amor nos tornaPatéticosSexo é uma selvaDe epiléticosAmor é cristãoSexo é pagãoAmor é latifúndioSexo é invasãoAmor é divinoSexo é animalAmor é bossa novaSexo é carnavalOh, oh, uhAmor é para sempreSexo tambémSexo é do bomAmor é do bemAmor sem sexoÉ amizadeSexo sem amorÉ vontadeAmor é umSexo é doisSexo antesAmor depoisSexo vem dos outrosE vai emboraAmor vem de nósE demoraAmor é cristãoSexo é pagãoAmor é latifúndioSexo é invasãoAmor é divinoSexo é animalAmor é bossa novaSexo é carnavalOh, oh, uhAmor é issoSexo é aquiloE coisa e talE tal e coisaUh, uh, uhAi o amorHum, o sexo"
Faça parte  dessa comunidade,"Amor é um livroSexo é esporteSexo é escolhaAmor é sorteAmor é pensamentoTeoremaAmor é novelaSexo é cinemaSexo é imaginaçãoFantasiaAmor é prosaSexo é poesiaO amor nos tornaPatéticosSexo é uma selvaDe epiléticosAmor é cristãoSexo é pagãoAmor é latifúndioSexo é invasãoAmor é divinoSexo é animalAmor é bossa novaSexo é carnavalOh, oh, uhAmor é para sempreSexo tambémSexo é do bomAmor é do bemAmor sem sexoÉ amizadeSexo sem amorÉ vontadeAmor é umSexo é doisSexo antesAmor depoisSexo vem dos outrosE vai emboraAmor vem de nósE demoraAmor é cristãoSexo é pagãoAmor é latifúndioSexo é invasãoAmor é divinoSexo é animalAmor é bossa novaSexo é carnavalOh, oh, uhAmor é issoSexo é aquiloE coisa e talE tal e coisaUh, uh, uhAi o amorHum, o sexo"
Amor Objeto,"Talvez por acasoO destino me fez cruzar com você,Assim tão de repente,Como uma nova aventuraFiquei gamado em você, doçuraFaça comigo o que bem entenderUm romance secreto,Um mero namorado,Um simples objeto de amor identificado!Gosto de você assim assim,Sem tirar nem pôr!"
Faça parte  dessa comunidade,"Talvez por acasoO destino me fez cruzar com você,Assim tão de repente,Como uma nova aventuraFiquei gamado em você, doçuraFaça comigo o que bem entenderUm romance secreto,Um mero namorado,Um simples objeto de amor identificado!Gosto de você assim assim,Sem tirar nem pôr!"
